Major lung resection	1	Knowledge	h	\N	\N
Major lung resection	2	Preparation	h	Positioning and choice of incision(s)	\N
Major lung resection	3	Dissect levels 4, 5/6, 7, 8, 9	m	Carina, esophagus, [SVC, trachea, azygos vein] or [aorta/PA] identified	N2 disease present
Major lung resection	4	Dissect, divide pulmonary vein	m	Pulmonary vein to remain in place identified	Common pulmonary vein; how to control venous bleeding
Major lung resection	5	Dissect, divide pulmonary artery branches	h	Differentiate between branches to affected lobe vs other lobes	How to control arterial bleeding
Major lung resection	6	Complete fissure(s)	m	Avoid impinging on other lobes	Fissure involved by cancer
Major lung resection	7	Conclusion	m	\N	\N
Thymectomy	1	Knowledge	h	\N	\N
Thymectomy	2	Preparation	h	Positioning and choice of incision(s)	\N
Thymectomy	3	Opening pleura adjacent to ipsilateral phrenic nerve	l	Identify phrenic nerve and internal thoracic vein	\N
Thymectomy	4	Dissection of pericardium	m	Identify the plane between the thymus and pericardium	\N
Thymectomy	5	Dissection of upper poles	m	Identify upper poles	\N
Thymectomy	6	Dissection and division of venous branches	h	Identify innominate vein	\N
Thymectomy	7	Completion of dissection with preservation of contralateral phrenic nerve	h	Identify contralateral phrenic nerve	\N
Thymectomy	8	Conclusion	m	\N	\N
Radical pleurectomy/decortication	1	Knowledge	h	\N	\N
Radical pleurectomy/decortication	2	Preparation	h	Positioning and choice of incision(s)	\N
Radical pleurectomy/decortication	3	Separation of lung from pleura	m	Identify pleural plane	\N
Radical pleurectomy/decortication	4	LN dissection	m	\N	\N
Radical pleurectomy/decortication	5	Dissection of upper poles	m	Identify of upper poles	\N
Radical pleurectomy/decortication	6	Excision and reconstruction of diaphragm	h	Identify the plane between the diaphragm and peritoneum	\N
Radical pleurectomy/decortication	7	Excision and reconstruction of pericardium	h	Identify the plane between the pericardium and epicardium	\N
Radical pleurectomy/decortication	8	Conclusion	m	\N	\N
Esophagectomy	1	Knowledge	h	\N	\N
Esophagectomy	2	Preparation	h	Positioning and choice of incision(s)	\N
Esophagectomy	3	Mobilization of stomach	m	Identify gastroepiploic arcade	\N
